title,storyline,description,directors,writers,cast,tagline,genres
Kids of the Round Table,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil sabres and plastic armor. The summer fun a...","Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil sabres and plastic armor. The summer fun a...",Robert Tinnell,"David Sherman, Robert Tinnell","['Johnny Morina (Unknown Role)', 'Maggie Castle (Unknown Role)', 'Christopher Olscamp (Unknown Role)', 'Justin Borntraeger (Unknown Role)', 'Billy Coyle (Unknown Role)']",Tagline not available,Adventure|Children's|Fantasy
Home for the Holidays,"After being fired, making out with her soon-to-be ex-boss, and discovering that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces the unenviable task of spending the holiday with her exceedingly dul...","After being fired, making out with her soon-to-be ex-boss, and discovering that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces the unenviable task of spending the holiday with her exceedingly dul...",Jodie Foster,"Chris Radant, W.D. Richter","['Holly Hunter (Unknown Role)', 'Anne Bancroft (Unknown Role)', 'Robert Downey Jr. (Unknown Role)', 'Charles Durning (Unknown Role)', 'Dylan McDermott (Unknown Role)']",Tagline not available,Drama
The Postman (Il Postino) - Behind the scenes,,,Stefano Veneruso,Writer not available,"['Luis Bacalov (Unknown Role)', 'Philippe Noiret (Unknown Role)', 'Anna Pavignano (Unknown Role)', 'Roberto Perpignani (Unknown Role)', 'Massimo Troisi (Unknown Role)']",Tagline not available,Drama|Romance
House of Mortal Sin,"The story follows a young woman, who seeks out his church. There, she is manipulated into giving confession to Father Xavier Meldrum. Meldrum uses his status and crazed persistence to work his way into Jenny's life by any means ne...","The story follows a young woman, who seeks out his church. There, she is manipulated into giving confession to Father Xavier Meldrum. Meldrum uses his status and crazed persistence to work his way into Jenny's life by any means ne...",Pete Walker,"David McGillivray, Pete Walker","['Anthony Sharp (Unknown Role)', 'Susan Penhaligon (Unknown Role)', 'Stephanie Beacham (Unknown Role)', 'Norman Eshley (Unknown Role)', 'Sheila Keith (Unknown Role)']",Tagline not available,Drama|Mystery
The Indian in the Cupboard,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.","Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.",Frank Oz,"Lynne Reid Banks, Melissa Mathison","['Hal Scardino (Unknown Role)', 'Litefoot (Unknown Role)', 'Lindsay Crouse (Unknown Role)', 'Richard Jenkins (Unknown Role)', 'Rishi Bhat (Unknown Role)']",Tagline not available,Adventure|Children's|Fantasy
Eye for an Eye,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",John Schlesinger,"Erika Holzer, Amanda Silver, Rick Jaffa","['Sally Field (Unknown Role)', 'Kiefer Sutherland (Unknown Role)', 'Ed Harris (Unknown Role)', 'Olivia Burnette (Unknown Role)', 'Alexandra Kyle (Unknown Role)']",Tagline not available,Drama|Thriller
Mr. Holland&apos;s Opus,A frustrated composer finds fulfillment as a high school music teacher.,A frustrated composer finds fulfillment as a high school music teacher.,Stephen Herek,Patrick Sheane Duncan,"['Richard Dreyfuss (Unknown Role)', 'Glenne Headly (Unknown Role)', 'Jay Thomas (Unknown Role)', 'Olympia Dukakis (Unknown Role)', 'William H. Macy (Unknown Role)']",Tagline not available,Drama
Don&apos;t Be a Menace to South Central While Drinking Your Juice in the Hood,"A parody of several U.S. films about being in the 'Hood', for instance Boyz N the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).","A parody of several U.S. films about being in the 'Hood', for instance Boyz N the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",Paris Barclay,"Shawn Wayans, Marlon Wayans, Phil Beauman","['Shawn Wayans (Unknown Role)', 'Marlon Wayans (Unknown Role)', 'Keenen Ivory Wayans (Unknown Role)', 'Tracey Cherelle Jones (Unknown Role)', 'Chris Spencer (Unknown Role)']",Tagline not available,Comedy
Two If by Sea,"A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.","A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.",Bill Bennett,"Denis Leary, Mike Armstrong, Ann Leary","['Sandra Bullock (Unknown Role)', 'Denis Leary (Unknown Role)', 'Stephen Dillane (Unknown Role)', 'Yaphet Kotto (Unknown Role)', 'Mike Starr (Unknown Role)']",Tagline not available,Comedy|Romance
Bio-Dome,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Jason Bloom,"Adam Leff, Mitchell Peck, Jason Blumenthal","['Pauly Shore (Unknown Role)', 'Stephen Baldwin (Unknown Role)', 'William Atherton (Unknown Role)', 'Denise Dowse (Unknown Role)', 'Dara Tomanovich (Unknown Role)']",Tagline not available,Comedy
Lawnmower Man 2: Beyond Cyberspace,"They thought they had destroyed him, but the simple gardener-turned-superkiller has found a way to reboot himself in Lawnmower Man 2: Beyond Cyberspace.","They thought they had destroyed him, but the simple gardener-turned-superkiller has found a way to reboot himself in Lawnmower Man 2: Beyond Cyberspace.",Farhad Mann,"Farhad Mann, Michael Miner","['Patrick Bergin (Unknown Role)', 'Matt Frewer (Unknown Role)', ""Austin O'Brien (Unknown Role)"", 'Ely Pouget (Unknown Role)', 'Camille Cooper (Unknown Role)']",Tagline not available,Sci-Fi|Thriller
Two Bits,"Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa's not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary.","Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa's not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary.",James Foley,Joseph Stefano,"['Al Pacino (Unknown Role)', 'Mary Elizabeth Mastrantonio (Unknown Role)', 'Jerry Barone (Unknown Role)', 'Patrick Borriello (Unknown Role)', 'Andy Romano (Unknown Role)']",Tagline not available,Drama
Friday,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.","It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",F. Gary Gray,"Ice Cube, DJ Pooh","['Ice Cube (Unknown Role)', 'Chris Tucker (Unknown Role)', 'Nia Long (Unknown Role)', 'Tom Lister Jr. (Unknown Role)', 'John Witherspoon (Unknown Role)']",Tagline not available,Comedy
From Dusk Till Dawn,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,"Robert Kurtzman, Quentin Tarantino","['Harvey Keitel (Unknown Role)', 'George Clooney (Unknown Role)', 'Juliette Lewis (Unknown Role)', 'Quentin Tarantino (Unknown Role)', 'Ernest Liu (Unknown Role)']",Tagline not available,Action|Comedy|Crime|Horror|Thriller
Fair Game,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,Doug Liman,"Jez Butterworth, John-Henry Butterworth, Joseph Wilson","['Naomi Watts (Unknown Role)', 'Sean Penn (Unknown Role)', 'Sonya Davison (Unknown Role)', 'Vanessa Chong (Unknown Role)', 'Anand Tiwari (Unknown Role)']",Tagline not available,Action
Kicking &amp; Screaming,"Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon realizes that he's also taking on his father's dysfunctional way of relating.","Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon realizes that he's also taking on his father's dysfunctional way of relating.",Jesse Dylan,"Leo Benvenuti, Steve Rudnick","['Will Ferrell (Unknown Role)', 'Robert Duvall (Unknown Role)', 'Josh Hutcherson (Unknown Role)', 'Mike Ditka (Unknown Role)', 'Kate Walsh (Unknown Role)']",Tagline not available,Comedy|Drama
Les Misérables,"In 19th-century France, Jean Valjean, who, for decades, has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.","In 19th-century France, Jean Valjean, who, for decades, has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",Tom Hooper,"William Nicholson, Alain Boublil, Claude-Michel Schönberg","['Hugh Jackman (Unknown Role)', 'Russell Crowe (Unknown Role)', 'Anne Hathaway (Unknown Role)', 'Amanda Seyfried (Unknown Role)', 'Sacha Baron Cohen (Unknown Role)']",Tagline not available,Drama
Bed of Roses,A young career girl is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,A young career girl is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,Michael Goldenberg,Michael Goldenberg,"['Christian Slater (Unknown Role)', 'Mary Stuart Masterson (Unknown Role)', 'Pamela Adlon (Unknown Role)', 'Josh Brolin (Unknown Role)', 'Brian Tarantina (Unknown Role)']",Tagline not available,Drama|Romance
Big Bully,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.","A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",Steve Miner,Mark Steven Johnson,"['Rick Moranis (Unknown Role)', 'Tom Arnold (Unknown Role)', 'Julianne Phillips (Unknown Role)', 'Carol Kane (Unknown Role)', 'Jeffrey Tambor (Unknown Role)']",Tagline not available,Comedy|Drama
Screamers,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained s...","A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained s...",Christian Duguay,"Philip K. Dick, Dan O&apos;Bannon, Miguel Tejada-Flores","['Peter Weller (Unknown Role)', 'Roy Dupuis (Unknown Role)', 'Jennifer Rubin (Unknown Role)', 'Andy Lauer (Unknown Role)', 'Charles Edwin Powell (Unknown Role)']",Tagline not available,Sci-Fi|Thriller
Nico Icon,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same ...","A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same ...",Susanne Ofteringer,Susanne Ofteringer,"['Nico (Unknown Role)', 'Tina Aumont (Unknown Role)', 'Christian Päffgen (Unknown Role)', 'Edith Boulogne (Unknown Role)', 'Jackson Browne (Unknown Role)']",Tagline not available,Documentary
